Tâche,Date,Plante,Type,Fréquence,Notes
💧 Arroser le Peperomia,2026-08-11,Peperomia grimpant,Arrosage,Tous les 7 à 10 jours,Laisser sécher le 1er cm de terre. Craint l'excès d'eau.
💧 Arroser le Caféier,2026-08-14,Caféier,Arrosage,Tous les 5 à 7 jours,Garder le substrat légèrement humide. Sensible au dessèchement.
🌿 Engrais Clivia,2026-08-14,Clivia,Engrais,Toutes les 2 semaines (printemps-été),Engrais plantes fleuries. Stop pendant le repos hivernal.
💧 Arroser le Dragonnier,2026-08-14,Dragonnier,Arrosage,Tous les 10 à 14 jours,Laisser sécher la moitié du pot. Eau non calcaire de préférence.
💧 Arroser le Clivia,2026-08-18,Clivia,Arrosage,Tous les 7 à 14 jours (croissance),Réduire fortement en hiver pour le repos / la floraison.
💧 Arroser le Caféier,2026-08-20,Caféier,Arrosage,Tous les 5 à 7 jours,Garder le substrat légèrement humide. Sensible au dessèchement.
🌿 Engrais Caféier,2026-08-20,Caféier,Engrais,Tous les 15 à 21 jours (printemps-été),Engrais plantes vertes dilué.
🔎 Contrôler le Caféier,2026-08-20,Caféier,Surveillance,Contrôle mensuel,Surveiller l'hygrométrie et les acariens (air sec). Brumiser au besoin.
🔎 Contrôler le Clivia,2026-08-20,Clivia,Surveillance,Contrôle mensuel,Penser au repos hivernal au frais (10–12 °C) pour refleurir.
💧 Arroser le Clusia,2026-08-20,Clusia « Princess »,Arrosage,Tous les 7 à 10 jours,Laisser sécher les 2 premiers centimètres.
🌿 Engrais Clusia,2026-08-20,Clusia « Princess »,Engrais,Une fois par mois (printemps-été),Engrais plantes vertes dilué.
🔎 Contrôler le Clusia,2026-08-20,Clusia « Princess »,Surveillance,Contrôle mensuel,Taches noires = excès d'eau ; chute de feuilles = courant d'air froid.
🌿 Engrais Dragonnier,2026-08-20,Dragonnier,Engrais,Une fois par mois (printemps-été),Engrais plantes vertes dilué.
🔎 Contrôler le Dragonnier,2026-08-20,Dragonnier,Surveillance,Contrôle mensuel,Pointes brunes = eau calcaire/fluorée ou air sec.
💧 Arroser la Sansevieria,2026-08-20,Langue de belle-mère,Arrosage,Tous les 14 à 21 jours,Laisser sécher complètement. 1 fois/mois en hiver.
🔎 Contrôler la Sansevieria,2026-08-20,Langue de belle-mère,Surveillance,Contrôle mensuel,Base molle = pourriture ; feuilles couchées = manque de lumière.
💧 Arroser le Peperomia,2026-08-20,Peperomia grimpant,Arrosage,Tous les 7 à 10 jours,Laisser sécher le 1er cm de terre. Craint l'excès d'eau.
🌿 Engrais Peperomia,2026-08-20,Peperomia grimpant,Engrais,Tous les 15 jours (printemps-été),Engrais plantes vertes dilué. Stop en hiver.
🔎 Contrôler le Peperomia,2026-08-20,Peperomia grimpant,Surveillance,Contrôle mensuel,Feuilles molles = trop d'eau ; tiges allongées = manque de lumière.
💧 Arroser le Caféier,2026-08-26,Caféier,Arrosage,Tous les 5 à 7 jours,Garder le substrat légèrement humide. Sensible au dessèchement.
💧 Arroser le Dragonnier,2026-08-26,Dragonnier,Arrosage,Tous les 10 à 14 jours,Laisser sécher la moitié du pot. Eau non calcaire de préférence.
🌿 Engrais Clivia,2026-08-28,Clivia,Engrais,Toutes les 2 semaines (printemps-été),Engrais plantes fleuries. Stop pendant le repos hivernal.
💧 Arroser le Clivia,2026-08-29,Clivia,Arrosage,Tous les 7 à 14 jours (croissance),Réduire fortement en hiver pour le repos / la floraison.
💧 Arroser le Clusia,2026-08-29,Clusia « Princess »,Arrosage,Tous les 7 à 10 jours,Laisser sécher les 2 premiers centimètres.
💧 Arroser le Peperomia,2026-08-29,Peperomia grimpant,Arrosage,Tous les 7 à 10 jours,Laisser sécher le 1er cm de terre. Craint l'excès d'eau.
💧 Arroser le Caféier,2026-09-01,Caféier,Arrosage,Tous les 5 à 7 jours,Garder le substrat légèrement humide. Sensible au dessèchement.
🌿 Engrais Peperomia,2026-09-04,Peperomia grimpant,Engrais,Tous les 15 jours (printemps-été),Engrais plantes vertes dilué. Stop en hiver.
💧 Arroser le Caféier,2026-09-07,Caféier,Arrosage,Tous les 5 à 7 jours,Garder le substrat légèrement humide. Sensible au dessèchement.
🌿 Engrais Caféier,2026-09-07,Caféier,Engrais,Tous les 15 à 21 jours (printemps-été),Engrais plantes vertes dilué.
💧 Arroser le Clusia,2026-09-07,Clusia « Princess »,Arrosage,Tous les 7 à 10 jours,Laisser sécher les 2 premiers centimètres.
💧 Arroser le Dragonnier,2026-09-07,Dragonnier,Arrosage,Tous les 10 à 14 jours,Laisser sécher la moitié du pot. Eau non calcaire de préférence.
💧 Arroser la Sansevieria,2026-09-07,Langue de belle-mère,Arrosage,Tous les 14 à 21 jours,Laisser sécher complètement. 1 fois/mois en hiver.
💧 Arroser le Peperomia,2026-09-07,Peperomia grimpant,Arrosage,Tous les 7 à 10 jours,Laisser sécher le 1er cm de terre. Craint l'excès d'eau.
💧 Arroser le Clivia,2026-09-09,Clivia,Arrosage,Tous les 7 à 14 jours (croissance),Réduire fortement en hiver pour le repos / la floraison.
🌿 Engrais Clivia,2026-09-11,Clivia,Engrais,Toutes les 2 semaines (printemps-été),Engrais plantes fleuries. Stop pendant le repos hivernal.
🌿 Engrais Sansevieria,2026-09-11,Langue de belle-mère,Engrais,Toutes les 8 semaines (printemps-été),Engrais cactées dilué. Aucun apport hors saison.
💧 Arroser le Caféier,2026-09-13,Caféier,Arrosage,Tous les 5 à 7 jours,Garder le substrat légèrement humide. Sensible au dessèchement.
💧 Arroser le Clusia,2026-09-16,Clusia « Princess »,Arrosage,Tous les 7 à 10 jours,Laisser sécher les 2 premiers centimètres.
💧 Arroser le Peperomia,2026-09-16,Peperomia grimpant,Arrosage,Tous les 7 à 10 jours,Laisser sécher le 1er cm de terre. Craint l'excès d'eau.
💧 Arroser le Caféier,2026-09-19,Caféier,Arrosage,Tous les 5 à 7 jours,Garder le substrat légèrement humide. Sensible au dessèchement.
🔎 Contrôler le Caféier,2026-09-19,Caféier,Surveillance,Contrôle mensuel,Surveiller l'hygrométrie et les acariens (air sec). Brumiser au besoin.
🔎 Contrôler le Clivia,2026-09-19,Clivia,Surveillance,Contrôle mensuel,Penser au repos hivernal au frais (10–12 °C) pour refleurir.
🌿 Engrais Clusia,2026-09-19,Clusia « Princess »,Engrais,Une fois par mois (printemps-été),Engrais plantes vertes dilué.
🔎 Contrôler le Clusia,2026-09-19,Clusia « Princess »,Surveillance,Contrôle mensuel,Taches noires = excès d'eau ; chute de feuilles = courant d'air froid.
💧 Arroser le Dragonnier,2026-09-19,Dragonnier,Arrosage,Tous les 10 à 14 jours,Laisser sécher la moitié du pot. Eau non calcaire de préférence.
🌿 Engrais Dragonnier,2026-09-19,Dragonnier,Engrais,Une fois par mois (printemps-été),Engrais plantes vertes dilué.
🔎 Contrôler le Dragonnier,2026-09-19,Dragonnier,Surveillance,Contrôle mensuel,Pointes brunes = eau calcaire/fluorée ou air sec.
🔎 Contrôler la Sansevieria,2026-09-19,Langue de belle-mère,Surveillance,Contrôle mensuel,Base molle = pourriture ; feuilles couchées = manque de lumière.
🌿 Engrais Peperomia,2026-09-19,Peperomia grimpant,Engrais,Tous les 15 jours (printemps-été),Engrais plantes vertes dilué. Stop en hiver.
🔎 Contrôler le Peperomia,2026-09-19,Peperomia grimpant,Surveillance,Contrôle mensuel,Feuilles molles = trop d'eau ; tiges allongées = manque de lumière.
💧 Arroser le Clivia,2026-09-20,Clivia,Arrosage,Tous les 7 à 14 jours (croissance),Réduire fortement en hiver pour le repos / la floraison.
💧 Arroser le Caféier,2026-09-25,Caféier,Arrosage,Tous les 5 à 7 jours,Garder le substrat légèrement humide. Sensible au dessèchement.
🌿 Engrais Caféier,2026-09-25,Caféier,Engrais,Tous les 15 à 21 jours (printemps-été),Engrais plantes vertes dilué.
🌿 Engrais Clivia,2026-09-25,Clivia,Engrais,Toutes les 2 semaines (printemps-été),Engrais plantes fleuries. Stop pendant le repos hivernal.
💧 Arroser le Clusia,2026-09-25,Clusia « Princess »,Arrosage,Tous les 7 à 10 jours,Laisser sécher les 2 premiers centimètres.
💧 Arroser la Sansevieria,2026-09-25,Langue de belle-mère,Arrosage,Tous les 14 à 21 jours,Laisser sécher complètement. 1 fois/mois en hiver.
💧 Arroser le Peperomia,2026-09-25,Peperomia grimpant,Arrosage,Tous les 7 à 10 jours,Laisser sécher le 1er cm de terre. Craint l'excès d'eau.
💧 Arroser le Caféier,2026-10-01,Caféier,Arrosage,Tous les 5 à 7 jours,Garder le substrat légèrement humide. Sensible au dessèchement.
💧 Arroser le Clivia,2026-10-01,Clivia,Arrosage,Tous les 7 à 14 jours (croissance),Réduire fortement en hiver pour le repos / la floraison.
💧 Arroser le Dragonnier,2026-10-01,Dragonnier,Arrosage,Tous les 10 à 14 jours,Laisser sécher la moitié du pot. Eau non calcaire de préférence.
💧 Arroser le Clusia,2026-10-04,Clusia « Princess »,Arrosage,Tous les 7 à 10 jours,Laisser sécher les 2 premiers centimètres.
💧 Arroser le Peperomia,2026-10-04,Peperomia grimpant,Arrosage,Tous les 7 à 10 jours,Laisser sécher le 1er cm de terre. Craint l'excès d'eau.
🌿 Engrais Peperomia,2026-10-04,Peperomia grimpant,Engrais,Tous les 15 jours (printemps-été),Engrais plantes vertes dilué. Stop en hiver.
💧 Arroser le Caféier,2026-10-07,Caféier,Arrosage,Tous les 5 à 7 jours,Garder le substrat légèrement humide. Sensible au dessèchement.
🌿 Engrais Clivia,2026-10-09,Clivia,Engrais,Toutes les 2 semaines (printemps-été),Engrais plantes fleuries. Stop pendant le repos hivernal.
💧 Arroser le Clivia,2026-10-12,Clivia,Arrosage,Tous les 7 à 14 jours (croissance),Réduire fortement en hiver pour le repos / la floraison.
💧 Arroser le Caféier,2026-10-13,Caféier,Arrosage,Tous les 5 à 7 jours,Garder le substrat légèrement humide. Sensible au dessèchement.
🌿 Engrais Caféier,2026-10-13,Caféier,Engrais,Tous les 15 à 21 jours (printemps-été),Engrais plantes vertes dilué.
💧 Arroser le Clusia,2026-10-13,Clusia « Princess »,Arrosage,Tous les 7 à 10 jours,Laisser sécher les 2 premiers centimètres.
💧 Arroser le Dragonnier,2026-10-13,Dragonnier,Arrosage,Tous les 10 à 14 jours,Laisser sécher la moitié du pot. Eau non calcaire de préférence.
💧 Arroser la Sansevieria,2026-10-13,Langue de belle-mère,Arrosage,Tous les 14 à 21 jours,Laisser sécher complètement. 1 fois/mois en hiver.
💧 Arroser le Peperomia,2026-10-13,Peperomia grimpant,Arrosage,Tous les 7 à 10 jours,Laisser sécher le 1er cm de terre. Craint l'excès d'eau.
💧 Arroser le Caféier,2026-10-19,Caféier,Arrosage,Tous les 5 à 7 jours,Garder le substrat légèrement humide. Sensible au dessèchement.
🔎 Contrôler le Caféier,2026-10-19,Caféier,Surveillance,Contrôle mensuel,Surveiller l'hygrométrie et les acariens (air sec). Brumiser au besoin.
🔎 Contrôler le Clivia,2026-10-19,Clivia,Surveillance,Contrôle mensuel,Penser au repos hivernal au frais (10–12 °C) pour refleurir.
🌿 Engrais Clusia,2026-10-19,Clusia « Princess »,Engrais,Une fois par mois (printemps-été),Engrais plantes vertes dilué.
🔎 Contrôler le Clusia,2026-10-19,Clusia « Princess »,Surveillance,Contrôle mensuel,Taches noires = excès d'eau ; chute de feuilles = courant d'air froid.
🌿 Engrais Dragonnier,2026-10-19,Dragonnier,Engrais,Une fois par mois (printemps-été),Engrais plantes vertes dilué.
🔎 Contrôler le Dragonnier,2026-10-19,Dragonnier,Surveillance,Contrôle mensuel,Pointes brunes = eau calcaire/fluorée ou air sec.
🔎 Contrôler la Sansevieria,2026-10-19,Langue de belle-mère,Surveillance,Contrôle mensuel,Base molle = pourriture ; feuilles couchées = manque de lumière.
🌿 Engrais Peperomia,2026-10-19,Peperomia grimpant,Engrais,Tous les 15 jours (printemps-été),Engrais plantes vertes dilué. Stop en hiver.
🔎 Contrôler le Peperomia,2026-10-19,Peperomia grimpant,Surveillance,Contrôle mensuel,Feuilles molles = trop d'eau ; tiges allongées = manque de lumière.
💧 Arroser le Clusia,2026-10-22,Clusia « Princess »,Arrosage,Tous les 7 à 10 jours,Laisser sécher les 2 premiers centimètres.
💧 Arroser le Peperomia,2026-10-22,Peperomia grimpant,Arrosage,Tous les 7 à 10 jours,Laisser sécher le 1er cm de terre. Craint l'excès d'eau.
💧 Arroser le Clivia,2026-10-23,Clivia,Arrosage,Tous les 7 à 14 jours (croissance),Réduire fortement en hiver pour le repos / la floraison.
🌿 Engrais Clivia,2026-10-23,Clivia,Engrais,Toutes les 2 semaines (printemps-été),Engrais plantes fleuries. Stop pendant le repos hivernal.
💧 Arroser le Caféier,2026-10-25,Caféier,Arrosage,Tous les 5 à 7 jours,Garder le substrat légèrement humide. Sensible au dessèchement.
💧 Arroser le Dragonnier,2026-10-25,Dragonnier,Arrosage,Tous les 10 à 14 jours,Laisser sécher la moitié du pot. Eau non calcaire de préférence.
💧 Arroser le Caféier,2026-10-31,Caféier,Arrosage,Tous les 5 à 7 jours,Garder le substrat légèrement humide. Sensible au dessèchement.
🌿 Engrais Caféier,2026-10-31,Caféier,Engrais,Tous les 15 à 21 jours (printemps-été),Engrais plantes vertes dilué.
💧 Arroser le Clusia,2026-10-31,Clusia « Princess »,Arrosage,Tous les 7 à 10 jours,Laisser sécher les 2 premiers centimètres.
💧 Arroser la Sansevieria,2026-10-31,Langue de belle-mère,Arrosage,Tous les 14 à 21 jours,Laisser sécher complètement. 1 fois/mois en hiver.
💧 Arroser le Peperomia,2026-10-31,Peperomia grimpant,Arrosage,Tous les 7 à 10 jours,Laisser sécher le 1er cm de terre. Craint l'excès d'eau.
💧 Arroser le Clivia,2026-11-03,Clivia,Arrosage,Tous les 7 à 14 jours (croissance),Réduire fortement en hiver pour le repos / la floraison.
🌿 Engrais Peperomia,2026-11-03,Peperomia grimpant,Engrais,Tous les 15 jours (printemps-été),Engrais plantes vertes dilué. Stop en hiver.
💧 Arroser le Caféier,2026-11-06,Caféier,Arrosage,Tous les 5 à 7 jours,Garder le substrat légèrement humide. Sensible au dessèchement.
🌿 Engrais Clivia,2026-11-06,Clivia,Engrais,Toutes les 2 semaines (printemps-été),Engrais plantes fleuries. Stop pendant le repos hivernal.
💧 Arroser le Dragonnier,2026-11-06,Dragonnier,Arrosage,Tous les 10 à 14 jours,Laisser sécher la moitié du pot. Eau non calcaire de préférence.
🌿 Engrais Sansevieria,2026-11-06,Langue de belle-mère,Engrais,Toutes les 8 semaines (printemps-été),Engrais cactées dilué. Aucun apport hors saison.
💧 Arroser le Clusia,2026-11-09,Clusia « Princess »,Arrosage,Tous les 7 à 10 jours,Laisser sécher les 2 premiers centimètres.
💧 Arroser le Peperomia,2026-11-09,Peperomia grimpant,Arrosage,Tous les 7 à 10 jours,Laisser sécher le 1er cm de terre. Craint l'excès d'eau.
💧 Arroser le Caféier,2026-11-12,Caféier,Arrosage,Tous les 5 à 7 jours,Garder le substrat légèrement humide. Sensible au dessèchement.
💧 Arroser le Clivia,2026-11-14,Clivia,Arrosage,Tous les 7 à 14 jours (croissance),Réduire fortement en hiver pour le repos / la floraison.
💧 Arroser le Caféier,2026-11-18,Caféier,Arrosage,Tous les 5 à 7 jours,Garder le substrat légèrement humide. Sensible au dessèchement.
🌿 Engrais Caféier,2026-11-18,Caféier,Engrais,Tous les 15 à 21 jours (printemps-été),Engrais plantes vertes dilué.
🔎 Contrôler le Caféier,2026-11-18,Caféier,Surveillance,Contrôle mensuel,Surveiller l'hygrométrie et les acariens (air sec). Brumiser au besoin.
🔎 Contrôler le Clivia,2026-11-18,Clivia,Surveillance,Contrôle mensuel,Penser au repos hivernal au frais (10–12 °C) pour refleurir.
💧 Arroser le Clusia,2026-11-18,Clusia « Princess »,Arrosage,Tous les 7 à 10 jours,Laisser sécher les 2 premiers centimètres.
🌿 Engrais Clusia,2026-11-18,Clusia « Princess »,Engrais,Une fois par mois (printemps-été),Engrais plantes vertes dilué.
🔎 Contrôler le Clusia,2026-11-18,Clusia « Princess »,Surveillance,Contrôle mensuel,Taches noires = excès d'eau ; chute de feuilles = courant d'air froid.
💧 Arroser le Dragonnier,2026-11-18,Dragonnier,Arrosage,Tous les 10 à 14 jours,Laisser sécher la moitié du pot. Eau non calcaire de préférence.
